gender,PlaceofBirth,StageID,GradeID,Topic,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,StudentAbsenceDays,ParentschoolSatisfaction,ParentAnsweringSurvey
F,Jordan,lowerlevel,G-04,Science,Mum,11,20,21,23,Under-7,Bad,No
F,Jordan,lowerlevel,G-04,Science,Mum,12,44,25,39,Under-7,Bad,No
F,Jordan,lowerlevel,G-04,Science,Father,15,50,24,43,Under-7,Bad,Yes
F,Jordan,lowerlevel,G-04,Science,Father,32,44,29,89,Under-7,Bad,Yes
M,Jordan,lowerlevel,G-04,Science,Mum,65,59,74,83,Under-7,Good,Yes
M,Jordan,lowerlevel,G-04,Science,Mum,72,64,59,89,Under-7,Good,Yes
M,Jordan,lowerlevel,G-04,Science,Mum,95,57,74,89,Above-7,Good,Yes
M,Jordan,lowerlevel,G-04,Science,Mum,82,84,79,79,Above-7,Good,Yes
M,Jordan,lowerlevel,G-04,Science,Father,25,29,34,33,Above-7,Good,No
M,Jordan,lowerlevel,G-04,Science,Father,42,34,29,39,Above-7,Good,No
F,Jordan,lowerlevel,G-04,Science,Mum,55,79,44,43,Under-7,Good,Yes
F,Jordan,lowerlevel,G-04,Science,Mum,62,64,69,49,Under-7,Good,Yes
F,lebanon,lowerlevel,G-04,Science,Mum,78,88,74,83,Under-7,Good,Yes
F,lebanon,lowerlevel,G-04,Science,Mum,72,84,89,89,Under-7,Good,Yes
M,Jordan,lowerlevel,G-02,French,Mum,60,92,83,23,Under-7,Good,Yes
M,Jordan,lowerlevel,G-02,French,Mum,50,90,83,13,Under-7,Good,Yes
F,Jordan,lowerlevel,G-02,French,Mum,60,97,13,3,Under-7,Good,Yes
F,Jordan,lowerlevel,G-02,French,Mum,50,95,23,10,Under-7,Good,Yes
F,Jordan,lowerlevel,G-02,French,Mum,60,87,23,11,Above-7,Good,Yes
F,Jordan,lowerlevel,G-02,French,Mum,50,80,20,15,Above-7,Good,Yes
M,Jordan,lowerlevel,G-02,French,Father,10,15,10,21,Above-7,Bad,No
M,Jordan,lowerlevel,G-02,French,Father,30,10,20,5,Above-7,Bad,No
M,Syria,lowerlevel,G-02,French,Father,24,35,18,31,Under-7,Bad,No
M,Syria,lowerlevel,G-02,French,Father,27,20,33,35,Under-7,Bad,No
M,Jordan,lowerlevel,G-02,French,Father,10,15,10,21,Above-7,Bad,No
M,Jordan,lowerlevel,G-02,French,Father,30,10,20,5,Above-7,Bad,No
F,Palestine,lowerlevel,G-02,French,Mum,80,77,63,83,Under-7,Good,Yes
F,Palestine,lowerlevel,G-02,French,Mum,75,85,73,80,Under-7,Good,Yes
M,Jordan,lowerlevel,G-02,French,Father,40,7,50,41,Above-7,Good,No
M,Jordan,lowerlevel,G-02,French,Father,35,2,29,33,Above-7,Good,No
F,Jordan,lowerlevel,G-02,French,Mum,10,90,30,21,Under-7,Good,No
F,Jordan,lowerlevel,G-02,French,Mum,25,80,29,23,Under-7,Good,No
M,Lybia,lowerlevel,G-02,French,Mum,10,8,9,3,Above-7,Good,No
M,Lybia,lowerlevel,G-02,French,Mum,15,7,12,7,Above-7,Good,No
F,Jordan,lowerlevel,G-02,French,Mum,70,90,20,21,Under-7,Good,No
F,Jordan,lowerlevel,G-02,French,Mum,75,80,15,20,Under-7,Good,No
F,Jordan,lowerlevel,G-02,French,Father,78,98,10,11,Under-7,Good,No
F,Jordan,lowerlevel,G-02,French,Father,79,89,11,14,Under-7,Good,No
F,Iraq,lowerlevel,G-02,French,Father,16,90,15,11,Under-7,Good,No
F,Iraq,lowerlevel,G-02,French,Father,17,80,13,10,Under-7,Good,No
M,Jordan,lowerlevel,G-02,French,Mum,40,87,50,41,Under-7,Bad,No
M,Jordan,lowerlevel,G-02,French,Mum,35,92,29,33,Under-7,Bad,No
F,Jordan,lowerlevel,G-02,French,Mum,14,97,15,14,Under-7,Good,No
F,Jordan,lowerlevel,G-02,French,Mum,13,82,20,30,Under-7,Good,No
F,Jordan,lowerlevel,G-02,French,Mum,24,97,15,14,Under-7,Good,No
F,Jordan,lowerlevel,G-02,French,Mum,23,82,20,30,Under-7,Good,No
M,Lybia,lowerlevel,G-02,French,Mum,20,3,9,3,Above-7,Good,No
M,Lybia,lowerlevel,G-02,French,Mum,15,4,12,7,Above-7,Good,No
M,Egypt,lowerlevel,G-02,French,Mum,5,13,6,6,Above-7,Good,No
M,Egypt,lowerlevel,G-02,French,Mum,7,9,11,10,Above-7,Good,No
F,Jordan,lowerlevel,G-02,French,Mum,10,94,40,11,Under-7,Good,Yes
F,Jordan,lowerlevel,G-02,French,Mum,25,89,21,13,Under-7,Good,Yes
M,Jordan,lowerlevel,G-02,French,Mum,30,98,42,21,Under-7,Good,Yes
M,Jordan,lowerlevel,G-02,French,Mum,35,97,41,23,Under-7,Good,Yes
M,Jordan,lowerlevel,G-02,French,Father,32,88,32,25,Under-7,Good,Yes
M,Jordan,lowerlevel,G-02,French,Father,25,87,21,27,Under-7,Good,Yes
F,lebanon,lowerlevel,G-02,French,Mum,72,98,52,15,Under-7,Good,Yes
F,lebanon,lowerlevel,G-02,French,Mum,75,90,51,17,Under-7,Good,Yes
M,Jordan,lowerlevel,G-02,Arabic,Father,20,88,31,28,Above-7,Good,Yes
M,Jordan,lowerlevel,G-02,Arabic,Father,10,98,41,38,Above-7,Good,Yes
M,Jordan,lowerlevel,G-02,Arabic,Father,90,98,41,38,Under-7,Good,Yes
M,Jordan,lowerlevel,G-02,Arabic,Father,80,88,51,39,Under-7,Good,Yes
M,Iraq,lowerlevel,G-02,Arabic,Father,80,95,21,28,Under-7,Good,Yes
M,Iraq,lowerlevel,G-02,Arabic,Father,78,70,31,29,Under-7,Good,Yes
M,Jordan,lowerlevel,G-02,Arabic,Father,10,18,71,38,Above-7,Good,Yes
M,Jordan,lowerlevel,G-02,Arabic,Father,10,58,51,48,Above-7,Good,Yes
F,Jordan,lowerlevel,G-02,Arabic,Mum,98,88,60,31,Under-7,Good,No
F,Jordan,lowerlevel,G-02,Arabic,Mum,75,81,51,34,Under-7,Good,No
M,Jordan,lowerlevel,G-02,Arabic,Father,10,17,50,21,Under-7,Bad,No
M,Jordan,lowerlevel,G-02,Arabic,Father,35,2,29,23,Under-7,Bad,No
F,Jordan,lowerlevel,G-02,Arabic,Father,10,20,22,97,Above-7,Bad,No
F,Jordan,lowerlevel,G-02,Arabic,Father,5,9,19,98,Above-7,Bad,No
M,Jordan,lowerlevel,G-02,Arabic,Father,10,10,40,51,Above-7,Bad,No
M,Jordan,lowerlevel,G-02,Arabic,Father,35,2,29,23,Above-7,Bad,No
M,Jordan,lowerlevel,G-02,Arabic,Mum,20,90,50,61,Above-7,Bad,Yes
M,Jordan,lowerlevel,G-02,Arabic,Mum,32,82,59,63,Above-7,Bad,Yes
M,Jordan,lowerlevel,G-02,Arabic,Father,10,30,50,91,Above-7,Bad,Yes
M,Jordan,lowerlevel,G-02,Arabic,Father,12,22,59,83,Above-7,Bad,Yes
F,Jordan,lowerlevel,G-02,Arabic,Father,11,20,20,98,Above-7,Bad,No
F,Jordan,lowerlevel,G-02,Arabic,Father,10,12,29,93,Above-7,Bad,No
M,Iraq,lowerlevel,G-02,Arabic,Mum,69,82,20,28,Under-7,Good,Yes
M,Iraq,lowerlevel,G-02,Arabic,Mum,70,83,29,33,Under-7,Good,Yes
F,Iraq,lowerlevel,G-02,Arabic,Mum,89,92,40,28,Under-7,Good,Yes
F,Iraq,lowerlevel,G-02,Arabic,Mum,79,93,49,23,Under-7,Good,Yes
M,Jordan,lowerlevel,G-02,Arabic,Mum,15,90,21,97,Under-7,Good,Yes
M,Jordan,lowerlevel,G-02,Arabic,Mum,20,77,31,88,Under-7,Good,Yes
M,SaudiArabia,lowerlevel,G-02,Arabic,Mum,4,10,11,7,Above-7,Good,No
M,SaudiArabia,lowerlevel,G-02,Arabic,Mum,5,0,1,8,Above-7,Good,No
F,Jordan,MiddleSchool,G-07,Biology,Mum,88,81,50,10,Above-7,Good,Yes
F,Jordan,MiddleSchool,G-07,Biology,Mum,90,88,54,12,Above-7,Good,Yes
F,Iraq,MiddleSchool,G-07,Biology,Mum,86,98,50,20,Under-7,Good,Yes
F,Iraq,MiddleSchool,G-07,Biology,Mum,90,90,57,22,Under-7,Good,Yes
M,Palestine,MiddleSchool,G-07,Biology,Mum,78,91,50,40,Under-7,Good,Yes
M,Palestine,MiddleSchool,G-07,Biology,Mum,70,98,54,72,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-07,Biology,Father,80,80,46,61,Under-7,Bad,Yes
M,Jordan,MiddleSchool,G-07,Biology,Father,85,82,59,63,Under-7,Bad,Yes
M,Palestine,MiddleSchool,G-07,Biology,Father,88,90,86,81,Under-7,Good,Yes
M,Palestine,MiddleSchool,G-07,Biology,Father,89,92,89,83,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-07,Biology,Father,39,71,40,26,Above-7,Good,No
M,Jordan,MiddleSchool,G-07,Biology,Father,35,80,34,22,Above-7,Good,No
M,Jordan,MiddleSchool,G-07,Biology,Father,76,81,80,86,Under-7,Good,No
M,Jordan,MiddleSchool,G-07,Biology,Father,65,89,64,82,Under-7,Good,No
F,Syria,MiddleSchool,G-07,Biology,Mum,96,95,70,70,Under-7,Good,Yes
F,Syria,MiddleSchool,G-07,Biology,Mum,80,91,87,72,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-07,Biology,Mum,2,9,10,1,Above-7,Bad,No
M,Jordan,MiddleSchool,G-07,Biology,Mum,3,8,19,3,Above-7,Bad,No
M,Jordan,MiddleSchool,G-07,Biology,Father,50,79,10,31,Under-7,Bad,No
M,Jordan,MiddleSchool,G-07,Biology,Father,53,88,9,33,Under-7,Bad,No
F,Jordan,MiddleSchool,G-07,Biology,Mum,70,89,12,21,Under-7,Good,No
F,Jordan,MiddleSchool,G-07,Biology,Mum,59,90,19,43,Under-7,Good,No
M,Jordan,MiddleSchool,G-07,Biology,Father,78,80,66,51,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-07,Biology,Father,79,72,79,83,Under-7,Good,Yes
F,Lybia,MiddleSchool,G-07,Biology,Mum,10,9,2,1,Above-7,Good,No
F,Lybia,MiddleSchool,G-07,Biology,Mum,9,7,9,3,Above-7,Good,No
M,Iraq,MiddleSchool,G-07,Biology,Father,98,90,86,71,Under-7,Good,Yes
M,Iraq,MiddleSchool,G-07,Biology,Father,89,92,89,83,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-07,Biology,Father,88,90,76,81,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-07,Biology,Father,99,96,89,84,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Chemistry,Mum,82,89,22,31,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Chemistry,Mum,84,92,29,43,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Geology,Mum,70,69,46,45,Above-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Geology,Mum,74,62,49,43,Above-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Geology,Mum,90,79,76,79,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Geology,Mum,84,77,79,68,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-08,Chemistry,Mum,80,80,62,11,Above-7,Good,Yes
M,Jordan,MiddleSchool,G-08,Chemistry,Mum,81,82,69,13,Above-7,Good,Yes
M,SaudiArabia,MiddleSchool,G-08,Chemistry,Father,10,0,2,41,Above-7,Bad,No
M,SaudiArabia,MiddleSchool,G-08,Chemistry,Father,11,2,9,49,Above-7,Bad,No
M,SaudiArabia,MiddleSchool,G-08,Geology,Father,85,89,22,61,Under-7,Bad,No
M,SaudiArabia,MiddleSchool,G-08,Geology,Father,80,89,23,68,Under-7,Bad,No
M,SaudiArabia,MiddleSchool,G-08,Geology,Father,95,87,62,81,Under-7,Bad,No
M,SaudiArabia,MiddleSchool,G-08,Geology,Father,87,79,73,98,Under-7,Bad,No
M,Jordan,MiddleSchool,G-08,Chemistry,Mum,85,87,72,10,Above-7,Good,Yes
M,Jordan,MiddleSchool,G-08,Chemistry,Mum,79,88,79,20,Above-7,Good,Yes
M,Jordan,MiddleSchool,G-08,Geology,Mum,80,81,71,30,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-08,Geology,Mum,70,83,70,23,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-08,Chemistry,Mum,80,82,76,19,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-08,Chemistry,Mum,70,82,75,29,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-08,Geology,Mum,89,87,86,15,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-08,Geology,Mum,90,86,85,10,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-08,History,Mum,69,77,76,75,Above-7,Good,Yes
M,Jordan,MiddleSchool,G-08,History,Mum,70,76,65,70,Above-7,Good,Yes
M,Jordan,MiddleSchool,G-08,Chemistry,Mum,75,72,64,39,Above-7,Good,Yes
M,Jordan,MiddleSchool,G-08,Chemistry,Mum,72,76,66,40,Above-7,Good,Yes
M,Jordan,MiddleSchool,G-08,Geology,Mum,77,82,74,79,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-08,Geology,Mum,71,84,67,80,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-08,History,Mum,87,92,74,89,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-08,History,Mum,81,84,77,85,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Chemistry,Father,15,97,22,10,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Chemistry,Father,19,98,20,2,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Geology,Father,25,82,52,20,Above-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Geology,Father,29,78,40,12,Above-7,Good,Yes
F,Jordan,MiddleSchool,G-08,History,Father,45,87,57,80,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,History,Father,39,88,43,72,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Chemistry,Father,85,90,52,30,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Chemistry,Father,79,91,49,22,Under-7,Good,Yes
M,Iraq,MiddleSchool,G-08,Chemistry,Father,90,91,80,81,Under-7,Good,Yes
M,Iraq,MiddleSchool,G-08,Chemistry,Father,80,90,80,83,Under-7,Good,Yes
M,Iraq,MiddleSchool,G-08,Geology,Father,80,83,82,71,Above-7,Good,Yes
M,Iraq,MiddleSchool,G-08,Geology,Father,71,81,83,72,Above-7,Good,Yes
M,Iraq,MiddleSchool,G-08,History,Father,72,87,72,89,Above-7,Good,Yes
M,Iraq,MiddleSchool,G-08,History,Father,69,77,83,92,Above-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Chemistry,Mum,85,99,42,90,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Chemistry,Mum,89,96,45,92,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Geology,Mum,80,82,64,58,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Geology,Mum,87,93,63,60,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Chemistry,Father,15,9,14,80,Above-7,Bad,No
F,Jordan,MiddleSchool,G-08,Chemistry,Father,9,6,15,85,Above-7,Bad,No
M,Jordan,MiddleSchool,G-08,History,Father,81,86,86,41,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-08,History,Father,78,82,78,53,Under-7,Good,Yes
M,Palestine,MiddleSchool,G-08,Geology,Father,80,87,74,68,Under-7,Good,Yes
M,Palestine,MiddleSchool,G-08,Geology,Father,85,88,79,70,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-08,Chemistry,Father,2,7,4,8,Above-7,Bad,No
F,Jordan,MiddleSchool,G-08,Chemistry,Father,5,4,5,8,Above-7,Bad,No
F,Jordan,MiddleSchool,G-08,Geology,Father,50,77,14,28,Under-7,Bad,No
F,Jordan,MiddleSchool,G-08,Geology,Father,55,74,25,29,Under-7,Bad,No
F,Jordan,MiddleSchool,G-08,History,Father,30,17,14,57,Above-7,Bad,No
F,Jordan,MiddleSchool,G-08,History,Father,35,14,23,62,Above-7,Bad,No
